Id_Fiche;Numero_Fiche;Intitule;Abrege_Libelle;Abrege_Intitule;Nomenclature_Europe_Niveau;Nomenclature_Europe_Intitule;Accessible_Nouvelle_Caledonie;Accessible_Polynesie_Francaise;Date_dernier_jo;Date_Decision;Date_Fin_Enregistrement;Date_Effet;Type_Enregistrement;Validation_Partielle;Actif
11261;RNCP19590;"Assurance, banque, finance; conseiller gestionnaire de clientèle ";Licence Professionnelle;Licence professionnelle;NIV6;Niveau 6;Non;Non;08/07/2013;;;;Enregistrement de droit;;INACTIVE
11380;RNCP19764;Master Mathématiques spécialité Ingénierie mathématique et outils de l'informatique;MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
11473;RNCP20015;Sciences technologie santé, mention Sciences chimiques pour le développement durable, spécialité Qualité Environnement et Sécurité dans l'Industrie et les Services (QESIS);MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
11565;RNCP20235;"Licence Professionnelle Gestion des Ressources Humaines
Option : Développement des compétences et formation professionnelle";Licence Professionnelle;Licence professionnelle;NIV6;Niveau 6;Non;Non;;;;;Enregistrement de droit;;INACTIVE
4506;RNCP20436;Moniteur en sécurité et sécurité incendie;;;NIV5;Niveau 5;Non;Non;17/04/2018;;17/04/2023;;Enregistrement sur demande;;INACTIVE
2815;RNCP20621;CQP Maître d’hôtel ;;;REPRISE;Sans niveau – le positionnement dans le cadre de national des certifications professionnelles est non déterminé;Non;Non;29/11/2014;;29/11/2017;;Enregistrement sur demande;;INACTIVE
11788;RNCP20899;"métiers du décisionnel et de la statisitique 
";LICENCE;Licence;NIV6;Niveau 6;Non;Non;;;;;Enregistrement de droit;;INACTIVE
11881;RNCP21122;Sciences, Technologies, Santé, mention Sciences des aliments, spécialité Procédés Fermentaires pour l’Agro-Alimentaire (PFAA) ;MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
11978;RNCP21303;"de Psychologie
Spécialité professionnelle et Recherche - « Psychologie du Travail, des Organisations et du Personnel »
";MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
12070;RNCP21531;"Sciences humaines et sociales - Mention : Culture, Territoires, Patrimoine - Spécialité recherche : Histoire et Archéologie
";MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
12155;RNCP21698;Master Economie de la firme et des marchés spécialité Conseil économique et contrôle organisationnel;MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
12229;RNCP21976;Droit Économie Gestion Mention Commerce, décision, gestion spécialité Management du Commerce International (MCI);MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
2931;RNCP22232;Infographiste 3D;;;NIV5;Niveau 5;Non;Non;30/01/2015;;25/11/2016;;Enregistrement sur demande;;INACTIVE
12393;RNCP22457;Titre ingénieur de l’École nationale supérieure d'agronomie et des industries alimentaires de l'université de Lorraine, spécialité agronomie;Titre ingénieur;Titre ingénieur;NIV7;Niveau 7;Non;Non;;;31/08/2023;;Enregistrement de droit;;INACTIVE
12504;RNCP22738;Diplôme de Sciences Po Rennes -Management Stratégique et Organisationnel Spécialisation Communication des Organisations;Grade_Master;Diplôme conférant le grade de Master;NIV7;Niveau 7;Non;Non;08/09/2005;;01/01/2025;;Enregistrement de droit;;INACTIVE
12581;RNCP22989;Management des organisations, Spécialité Management des petites entreprises et des entreprises artisanales;Licence Professionnelle;Licence professionnelle;NIV6;Niveau 6;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
14875;RNCP23261;commercialisation de solutions informatiques;Licence Professionnelle;Licence professionnelle;NIV6;Niveau 6;Non;Non;;;;;Enregistrement de droit;;INACTIVE
12739;RNCP23530;Licence Professionnelle Métiers de l’instrumentation de la mesure et du contrôle qualité;Licence Professionnelle;Licence professionnelle;NIV6;Niveau 6;Non;Non;;;;;Enregistrement de droit;;INACTIVE
3058;RNCP23705;CQP Restaurateur/trice numérique option image et option son;;;REPRISE;Sans niveau – le positionnement dans le cadre de national des certifications professionnelles est non déterminé;Non;Non;25/07/2015;;25/07/2018;;Enregistrement sur demande;;INACTIVE
12848;RNCP23901;"Mention : Management des transports et de la distribution

";Licence Professionnelle;Licence professionnelle;NIV6;Niveau 6;Non;Non;;;;;Enregistrement de droit;;INACTIVE
12962;RNCP24216;"Entrepreneuriat et management de projets 
";MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
16260;RNCP24531;Sciences de la Terre (fiche nationale);LICENCE;Licence;NIV6;Niveau 6;Non;Non;;;01/01/2025;;Enregistrement de droit;;INACTIVE
13190;RNCP24758;"Marketing Vente
";MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
