code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université de rattachement libellé et UAI;université de rattachement ID et URL Onisep;établissements liés libellés;établissements liés URL et ID Onisep;boîte postale;adresse;CP;commune;commune (COG);cedex;telephone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);journées portes ouvertes;langues enseignées;URL et ID Onisep;date création;date de modification
0142422G;82395216300025;école de la deuxième chance;École de la 2e chance de Normandie;E2C;privé;Ministère chargé de l'Éducation nationale;;;;;;717 boulevard de la Grande Delle, Site Boisrobert;14200;Hérouville-Saint-Clair;14327;;02 61 67 09 88;;Calvados;Normandie;Normandie;28;-0.33591249999995;49.2073732;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15728;06/06/2020;28/10/2025
0921782M;19921782900019;collège;Collège Rabelais;;public;Ministère chargé de l'Éducation nationale;;;Lycée Rabelais à Meudon (92);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10327;;6 rue Georges Langrognet;92190;Meudon;92048;;01 45 34 48 54;;Hauts-de-Seine;Versailles;Ile-de-France;11;2.23993;48.8013;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Russe;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11043;06/06/2020;22/07/2024
0692929J;77982512400018;collège;Collège Saint-Louis - Saint-Bruno;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;1 cours Général Giraud;69001;Lyon;69380;;04 78 28 39 53;01;Rhône;Lyon;Auvergne-Rhône-Alpes;84;4.8169;45.771;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13266;06/06/2020;17/06/2025
0801437C;19801437500010;collège;Collège Sagebien;;public;Ministère chargé de l'Éducation nationale;;;;;;95 rue Sagebien;80000;Amiens;80021;;03 22 71 92 90;;Somme;Amiens;Hauts-de-France;32;2.290735244751;49.874787498985;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais, Langues et cultures européennes : espagnol, Portugais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8679;06/06/2020;03/06/2026
0120092K;77671674800012;collège;Collège Saint-Joseph;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;3 rue Foncourieu;12330;Marcillac-Vallon;12138;;05 65 71 76 24;;Aveyron;Toulouse;Occitanie;76;2.46252;44.4753;;Anglais, Espagnol, Langues et cultures de l'Antiquité : latin, Langues et cultures régionales : occitan - langue d'oc;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1049;06/06/2020;22/01/2025
9760245M;20000450500018;collège;Collège Zakia Madi;;public;Ministère chargé de l'Éducation nationale;;;;;BP 78;2 route nationale 3;97660;Dembéni;97607;;0269 63 64 65;;Mayotte;Mayotte;Mayotte;06;45.190656781197;-12.847020874377;;Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19490;06/06/2020;19/02/2025
0880097C;40904177900011;lycée général, technologique ou polyvalent;Ensemble scolaire Jeanne d'Arc - Saint-Joseph (lycée);;privé sous contrat;Ministère chargé de l'Éducation nationale;;;Ensemble scolaire Jeanne d'Arc - Saint-Joseph (lycée professionnel) à Remiremont (88);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11075;BP 20045;6 rue du Canton;88202;Remiremont;88383;Cedex;03 29 62 23 73;;Vosges;Nancy-Metz;Grand Est;44;6.58713;48.0198;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2558;06/06/2020;04/03/2026
0440355X;42866739800013;lycée général, technologique ou polyvalent;Lycée Charles Péguy;;privé sous contrat;Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire;;;;;;3 rue de la Sèvre;44190;Gorges;44064;;02 40 54 48 00;;Loire-Atlantique;Nantes;Pays de la Loire;52;-1.2569028;47.0811741;;Allemand, Anglais, Chinois, Espagnol, Italien, Japonais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2511;06/06/2020;24/02/2026
0422372A;88029562100010;centre de formation d'apprentis;Institut français de langues;IFRAL;privé;;;;;;;1 bis rue Elisée Reclus;42000;Saint-Etienne;42218;;06 05 44 86 93;;Loire;Lyon;Auvergne-Rhône-Alpes;84;4.3823878;45.4407467;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25517;03/12/2025;10/04/2026
0383242T;19383120300016;lycée général, technologique ou polyvalent;Lycée général international Europole;;public;Ministère chargé de l'Éducation nationale;;;Collège international Europole à Grenoble (38);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11028;BP 1570;4 place de Sfax, Europole;38012;Grenoble;38185;Cedex;04 38 12 25 00;;Isère;Grenoble;Auvergne-Rhône-Alpes;84;5.71165;45.1947;;Allemand, Anglais, Arabe, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : latin, Portugais, Turc;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2829;06/06/2020;06/11/2025
