code NSF;code scolarité;sigle type formation;libellé type formation;libellé formation principal;sigle formation;durée;niveau de sortie indicatif;code RNCP;niveau de certification;libellé niveau de certification;tutelle;URL et ID Onisep;domaine/sous-domaine;date création;date de modification
200;26X20003;;formation d'école spécialisée;responsable amélioration continue en industrie;;1 an;bac + 3;41439;2;niveau 6;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.12193;matières premières, fabrication, industries/génie industriel;20/11/2025;03/12/2025
111;26511101;;bachelor en sciences et ingénierie;bachelor en sciences et ingénierie - plasturgie et écologie industrielle;INSA Lyon;3 ans;bac + 3;42299;2;niveau 6;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.10867;environnement, énergies, propreté/déchets, pollutions et risques | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/méthodes industrialisation | matières premières, fabrication, industries/plasturgie | armée, sécurité/sécurité, prévention;17/12/2024;15/06/2026
326 | 114;17032610;;diplôme d'ingénieur;diplôme d'ingénieur de Télécom SudParis de l'Institut Mines-Télécom spécialité informatique et réseaux;IMT;3 ans;bac + 5;41155;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.11948;informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications;25/09/2025;26/06/2026
;;;formation d'école spécialisée;cycle pluridisciplinaire d'études supérieures - sciences des données, environnement et gestion des ressources naturelles;CPES;3 ans;bac + 3;;2;niveau 6;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.11345;environnement, énergies, propreté/environnement (généralités) | informatique, Internet/informatique (généralités) | sciences/mathématiques | économie, droit, politique/sciences économiques;23/04/2025;20/03/2026
331;;;autre formation en santé;diplôme d'ostéopathe;;5 ans;bac + 5;;1;niveau 7;Ministère des Solidarités et de la Santé;https://www.onisep.fr/http/redirection/formation/slug/FOR.2034;santé, social, sport/paramédical;06/06/2020;15/11/2024
312 | 128 | 310 | 313;16531204;;diplôme d'école de commerce visé de niveau bac + 4 ou 5;diplôme du programme grande école de l'EDHEC;;3 ans;bac + 5;41040;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.11743;gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/commerce international | banque, assurances, immobilier/finances;30/07/2025;22/10/2025
233;56T23304;TP;titre professionnel;TP plaquiste;;1 an;CAP ou équivalent;37122;5;niveau 3;Ministère du travail, de l'emploi et du dialogue social;https://www.onisep.fr/http/redirection/formation/slug/FOR.8700;construction, architecture, travaux publics/finition | construction, architecture, travaux publics/plâtrerie;17/03/2023;26/02/2024
200 | 343 | 300;16X20010;;formation d'école spécialisée;manager qualité hygiène sécurité environnement;;2 ans;bac + 5;41413;1;niveau 7;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.12191;environnement, énergies, propreté/déchets, pollutions et risques | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/maintenance, qualité | environnement, énergies, propreté/propreté | armée, sécurité/sécurité, prévention;20/11/2025;20/11/2025
110;;CPI;cycle préparatoire intégré;cycle préparatoire intégré de l'Institut supérieur de l'automobile et des transports;ISAT;2 ans;bac + 2;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.2449;mécanique/aéronautique | environnement, énergies, propreté/aménagement du territoire | mécanique/automobile | électricité, électronique, robotique/électrotechnique | environnement, énergies, propreté/énergies | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fonction production (généralités) | logistique, transport/logistique | matières premières, fabrication, industries/maintenance, qualité | sciences/mathématiques | mécanique/mécanique (généralités) | sciences/physique | logistique, transport/transport;06/06/2020;27/06/2025
116 | 117 | 214 | 343;17011601;;diplôme d'ingénieur;diplôme d'ingénieur de l'École polytechnique universitaire de l'université Côte d'Azur spécialité génie de l'eau;Polytech;3 ans;bac + 5;;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.10674;environnement, énergies, propreté/aménagement paysager | environnement, énergies, propreté/gestion de l'eau | informatique, Internet/informatique (généralités) | sciences/sciences de la Terre;31/10/2024;26/06/2026
221;;;formation d'école spécialisée;diplôme des arts pâtissiers;;1 an;bac ou équivalent;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.11866;matières premières, fabrication, industries/agroalimentaire;22/09/2025;20/11/2025
312;25131202;BUT;bachelor universitaire de technologie;BUT techniques de commercialisation parcours business développement et management de la relation client;TC;3 ans;bac + 3;41621;2;niveau 6;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.7952;commerce, marketing, vente/grande distribution et petits commerces | banque, assurances, immobilier/immobilier | commerce, marketing, vente/marketing, vente;20/07/2022;04/06/2026
;;;formation d'école spécialisée;Digital Painter;;1 an;bac + 4;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.9381;arts, culture, artisanat/arts graphiques | arts, culture, artisanat/arts plastiques;04/12/2023;30/10/2024
128;15512804;;diplôme d'institut d'études politiques;diplôme de l'Institut d'études politiques de Bordeaux;IEP;5 ans;bac + 5;39136;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.1946;gestion des entreprises, comptabilité/administration de l'entreprise | économie, droit, politique/droit (généralités) | économie, droit, politique/sciences économiques | économie, droit, politique/sciences politiques;06/06/2020;19/12/2025
;;CPI;cycle préparatoire intégré;premier cycle INSA post bac général - programme premier cycle INSA FIMI adapté de l'INSA Martinique Caraïbe;INSA;2 ans;bac + 2;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.9371;sciences/chimie | sciences/mathématiques | sciences/physique;01/12/2023;24/09/2025
233;50023311;CAP;certificat d'aptitude professionnelle;CAP staffeur ornemaniste;;2 ans;CAP ou équivalent;36427;5;niveau 3;Ministère chargé de l'Éducation nationale;https://www.onisep.fr/http/redirection/formation/slug/FOR.638;arts, culture, artisanat/artisanat d'art | construction, architecture, travaux publics/génie civil, construction (généralités) | matières premières, fabrication, industries/mines et carrières;06/06/2020;09/06/2026
320 | 322 | 323;26X32072;;formation d'école spécialisée;infographiste 3D (Studio M);;3 ans;bac + 3;39869;2;niveau 6;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.10989;arts, culture, artisanat/arts graphiques | information-communication, audiovisuel/multimédia;22/01/2025;24/07/2025
;;FCIL;formation complémentaire d'initiative locale;FCIL voilerie et sellerie nautique;;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.7425;mécanique/construction navale | matières premières, fabrication, industries/matériaux souples | matières premières, fabrication, industries/textile, habillement;26/01/2022;02/05/2024
233;46X23302;;formation d'école spécialisée;matiériste-coloriste en décor mural;;2 ans;bac ou équivalent;37759;4;niveau 4;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.11564;arts, culture, artisanat/artisanat d'art | construction, architecture, travaux publics/finition;24/06/2025;24/06/2025
